id,draft_year,draft_position,height,height_inches
lafrera01,1999,3,6-11,83
lagarto01,1978,9,6-10,82
laimbbi01,1980,65,6-11,83
lamban01,2021,NA,6-6,78
lambdo01,2013,42,6-4,76
lambejo01,1976,15,6-10,82
lambje01,2013,12,6-5,77
lampema01,2004,30,6-11,83
lampje01,1982,15,6-6,78
lamplji01,1984,102,6-10,82
lamplse01,2002,45,6-7,79
landajo01,2022,NA,6-11,83
landrca01,2008,31,6-9,81
landrma01,2010,NA,6-7,79
landsma01,1978,35,6-8,80
laneje01,1989,23,6-6,78
langan01,1989,28,6-11,83
langan02,1995,29,6-8,80
langdtr01,2000,11,6-3,75
langfke01,2008,NA,6-4,76
langfro01,2020,14,6-5,77
langhda01,2001,31,6-11,83
langja01,2004,48,6-10,82
laniebo01,1971,1,6-11,83
laniech01,2026,37,6-3,75
laproni01,2017,NA,6-4,76
laravja01,2023,19,6-7,79
larkish01,2014,18,5-11,71
larsspe01,2025,44,6-5,77
larueru01,1998,NA,6-2,74
lasmest01,2008,46,6-8,80
laudepr01,1997,28,7-4,88
lauvejo01,2014,55,6-11,83
lavinza01,2015,13,6-5,77
lawac01,2008,11,6-3,75
lawalga01,2011,46,6-9,81
lawreed01,1977,84,7-0,84
lawsoaj01,2023,NA,6-6,78
lawsoja01,1998,42,6-11,83
lawsoty01,2010,18,5-11,71
lawvi01,2020,NA,6-7,79
laymaja01,2017,47,6-8,80
leaftj01,2018,18,6-10,82
leaveal01,1980,104,6-1,73
leboje01,1990,NA,6-2,74
leckner01,1989,17,6-11,83
lecquja01,2020,NA,6-4,76
ledori01,2014,43,6-7,79
leebu01,1979,10,6-0,72
leeco01,2009,22,6-5,77
leeda02,2006,30,6-9,81
leeda03,2018,NA,6-6,78
leedo01,1988,35,6-5,77
leeke01,1986,11,6-10,82
leeku01,1991,NA,6-3,75
leema01,2012,43,6-5,77
leero01,1977,10,6-4,76
leero02,1982,NA,6-10,82
leesa01,2021,38,6-2,74
legleti01,1990,NA,6-4,76
lemonwa01,2018,NA,6-3,75
lenal01,2014,5,7-0,84
lenarvo01,1995,46,6-4,76
leonaga01,1990,34,7-1,85
leonaka01,2012,15,6-6,78
leoname01,2013,11,7-0,84
leonsma01,2025,NA,6-9,81
lesji01,1987,70,5-11,71
leslitr01,2012,47,6-4,76
lestero01,1981,10,6-2,74
lettcl01,1990,NA,6-3,75
leuerjo01,2012,40,6-10,82
leverca01,2017,20,6-7,79
leverfa01,1983,11,6-3,75
levincl01,1983,9,6-8,80
lewisce01,1996,NA,6-10,82
lewiski01,2021,13,6-1,73
lewisma01,1996,50,6-5,77
lewisma05,2024,40,6-7,79
lewisqu01,2000,19,6-7,79
lewisra01,1986,139,6-6,78
lewisra02,1999,32,6-10,82
lewisre01,1988,22,6-7,79
lewissc01,2022,56,6-4,76
liberma01,1991,42,6-8,80
lichtto01,1990,15,6-4,76
liddeej01,2023,41,6-6,78
liggide01,2012,53,6-6,78
lillada01,2013,6,6-2,74
lingest01,1982,44,6-9,81
linje01,2011,NA,6-3,75
listeal01,1982,21,7-0,84
littlna01,2020,25,6-6,78
livelde01,2024,12,7-1,85
liveris01,2022,42,6-6,78
livinch01,2024,58,6-6,78
livinra01,1997,42,6-4,76
livinsh01,2005,4,6-7,79
llamaho01,1997,NA,6-11,83
lloydle01,1982,76,6-6,78
lloydsc01,1977,24,6-10,82
lockhda01,1984,35,6-9,81
lockhia01,1991,NA,6-8,80
lockro01,1989,51,6-9,81
loderke01,1982,17,6-6,78
loftoke01,2023,NA,6-6,78
loftoza01,2019,NA,6-4,76
lohaubr01,1988,45,6-11,83
longar01,2001,NA,6-9,81
longgr01,1989,33,6-8,80
longjo01,1979,29,6-5,77
longllu01,1992,7,7-2,86
longsh01,2017,NA,6-9,81
looneke01,2016,30,6-9,81
lopezbr01,2009,10,7-1,85
lopezfe01,1999,24,6-5,77
lopezra01,2002,24,6-1,73
lopezro01,2009,15,7-1,85
lorthry01,1995,NA,6-4,76
louzama01,2020,35,6-5,77
loveca01,2026,NA,6-3,75
loveke01,2009,5,6-10,82
lowesi01,1984,25,6-0,72
lowryky01,2007,24,6-0,72
loydjo01,2019,NA,6-4,76
lucasjo01,1977,1,6-3,75
lucasjo02,2006,NA,5-11,71
lucaska01,2015,NA,6-1,73
lucasma01,1975,14,6-9,81
luety01,1999,23,6-0,72
lundbga01,2022,NA,6-4,76
lundyse01,2024,46,6-4,76
luwawti01,2017,24,6-7,79
lydonty01,2018,24,6-10,82
lylestr01,2016,12,6-9,81
lynchge01,1994,12,6-8,80
lynchke01,1992,28,6-5,77
maccuto01,2000,47,7-0,84
machasc01,2013,NA,6-1,73
macijar01,2006,NA,6-4,76
mackema01,1994,27,6-9,81
macklru01,1982,52,6-7,79
macklve01,2012,52,6-10,82
mackol01,1980,25,6-3,75
macksa01,1993,NA,6-7,79
macksh01,2012,34,6-3,75
macledo01,1993,19,6-10,82
maconda01,2019,NA,6-2,74
maconma01,1992,8,6-5,77
macurjp01,2019,NA,6-4,76
macyky01,1980,22,6-3,75
maddoti01,2003,38,6-4,76
madkige01,1994,NA,6-4,76
madsema01,2001,29,6-9,81
magetjo01,2018,NA,6-1,73
maggeco01,2000,13,6-6,78
magleda01,1983,28,6-8,80
magloja01,2001,19,6-11,83
magnawi01,2021,NA,6-10,82
mahinia01,2006,28,6-11,83
mahorri01,1981,35,6-10,82
majerda01,1989,14,6-6,78
majorre01,2007,NA,6-7,79
makerth01,2017,10,7-0,84
maledth01,2021,34,6-4,76
malonje01,1984,10,6-4,76
malonka01,1986,13,6-9,81
malonma01,1997,NA,6-3,75
malonmo01,1977,NA,6-10,82
malovst01,1979,149,6-10,82
maluakh01,2026,10,7-1,85
mamuksa01,2022,54,6-9,81
maneka01,2021,NA,6-3,75
mannida01,1989,1,6-10,82
mannini01,2021,48,6-2,74
mannipa01,1984,43,6-7,79
manniri01,1994,40,6-11,83
mannte01,2020,48,6-6,78
manntr01,2022,18,6-4,76
manonch01,2026,NA,6-4,76
maravpe01,1971,3,6-5,77
marblde01,2015,56,6-6,78
marblro01,1990,23,6-6,78
marbust01,1997,4,6-2,74
marcisa01,1988,127,6-5,77
mariosh01,2000,9,6-7,79
marjabo01,2016,NA,7-4,88
markkla01,2018,7,7-1,85
markoda01,2007,59,6-10,82
marksse01,1999,44,6-10,82
marshdo01,1995,4,6-9,81
marshdo02,1996,39,6-7,79
marshke01,2013,13,6-4,76
marshna01,2021,NA,6-6,78
marshra01,2006,NA,6-9,81
martibi01,1986,26,6-7,79
martibo01,1994,NA,7-0,84
martibr01,1985,185,6-9,81
martica01,2009,NA,6-7,79
martica02,2020,NA,6-5,77
martico01,2020,36,6-6,78
marticu01,1996,57,6-5,77
martida01,1995,NA,5-11,71
martife01,1986,38,6-9,81
martija01,2016,25,6-10,82
martija02,2025,NA,6-6,78
martije01,1990,31,6-5,77
martije02,2020,NA,6-2,74
martike01,2001,1,6-9,81
martike02,2005,26,6-7,79
martike03,2020,NA,6-5,77
martike04,2021,52,6-6,78
martima01,1987,16,6-6,78
martity01,2023,51,6-6,78
mashaja01,2026,59,6-4,76
mashbja01,1994,4,6-8,80
masonan01,1989,53,6-8,80
masonde01,2001,17,6-5,77
masonfr01,2018,34,5-11,71
masonro01,2003,31,6-5,77
masseto01,1991,43,6-9,81
matenya01,2019,NA,6-7,79
mathega01,2020,NA,6-5,77
mathida01,2021,NA,6-4,76
mathima01,2018,NA,6-10,82
mathube01,2023,6,6-5,77
matkoka01,2023,52,6-10,82
matthwe01,1981,14,6-1,73
matthwe02,2010,NA,6-5,77
maxeyma01,1993,28,6-8,80
maxeyty01,2021,21,6-2,74
maxieja01,2006,26,6-7,79
maxwece01,1978,12,6-8,80
maxweve01,1989,47,6-4,76
maybele01,1993,23,6-1,73
mayesth01,1992,NA,6-3,75
mayfibi01,1981,NA,6-7,79
maynoer01,2010,20,6-3,75
mayooj01,2009,3,6-5,77
maysc01,1977,2,6-7,79
mayse01,2006,13,6-9,81
mayssk01,2021,50,6-4,76
maystr01,1991,14,6-2,74
mbahalu01,2009,37,6-8,80
mbengdj01,2005,NA,7-0,84
mcadobo01,1973,2,6-9,81
mcadoja01,2015,NA,6-9,81
mcbrimi01,2022,36,6-2,74
mccaija01,2025,16,6-3,75
mccalra01,2014,36,6-3,75
mccalta01,2019,NA,6-5,77
mccanbo01,1988,32,6-6,78
mccanme01,1990,NA,6-8,80
mccanra01,2006,14,6-4,76
mccaran01,1976,136,6-3,75
mccarke01,1999,NA,6-7,79
mccarwa01,1997,19,6-10,82
mccasam01,1997,49,6-11,83
mccawpa01,2017,38,6-7,79
mccladw01,1986,27,6-6,78
mcclesh01,2017,NA,6-6,78
mcclida01,2001,53,7-0,84
mccloge01,1990,7,6-8,80
mccluma01,2022,NA,6-2,74
mccolcj01,2014,10,6-3,75
